txt,label
tipis banget tembus pandang,negatif
pesan blm ke kok pesan di terima plk kek mana konsep kak,negatif
buruk sekali sesuai ekspektasi bahan nya buruk besar,negatif
bajuny tipis bngt sesuai sma hargany sih,negatif
tampil saring tahu minta biru muda kasi biru laut,negatif
sangat tipis mas putihtipiss poll,negatif
pdhl uda batalin tap ttp krm,negatif
barang sesuai yang aku pesan,negatif
ukur m tdak jelas terlalu kecil pndek,negatif
padan harga gitu dehh,negatif
kain tipis baget kecewa,negatif
ukur baju beda padahal pesan sama xl,negatif
udahh nunggu lama lama datenggnyaa salah nggk sesuai malah putih semua,negatif
kualitas buruk,negatif
tipisssss,negatif
butut,negatif
tampil jelek warna biasa ukur gk pass,negatif
sangat tipis,negatif
ukur xl bukan buat th kecil bngt xl buat thn mna beli ny bnyk,negatif
sy pesan pcs kirim cm pcs tp ga ga ad video unboxing ny sy biasa ga video in karena percaya aj to salah nyata kurang toko ny ga mau kasih solusi mana buat seragam waktu ny dah mepet gw iklasin moga usaha ny lancar,negatif
warna yang sesuai barang ukur sesuai pesan hitam navy merah kirim kok hitam merah putih pesan xl kok kirim s,negatif
kualitas kaos sesuai harga sangat sayang kirim barang tdk sesuai sy pesan yg sy terima kaos lg tdk kirim balik tdk mau kena ongkir padahal salah di jual malah sy suruh kembali semua yaudah moga kaos yg kurang jd berkat,negatif
sebenernya dengen hrga segitu aq kecewa sen datang udh komplai kirim vide sm foto to responnya ga komplain dr tgl jual sm sekali ga direspon smpe sekarang gada niat baik buat kirim kurang,negatif
barang g sesuai sama gambar gambar kaos oblong kirim kaos singlet ampun dah,negatif
toko tipu sen kaos yg kirim cuma satu jangan percaya sama toko,negatif
bahan tipis banget warna warna baju lebih gelap mungkin klu gambar cahaya mungkin yaa,negatif
masuk untuk judul tera dengan harga segitu mesti masuk bah tc semi cotton bahan apa tipis kaya lapel kalo buat dalem ok aja tolong lah amanah sedikit jangan kecewa beli harga segitu masuk jangan bahan buat dalem kecewa banget asli,negatif
saya murah sayang iklan coton s tidak dijelaskn combd polister jadi terlalu tipis trawang dfoto lebih baik lengkap spec kain baik lengkap,negatif
tipis bgt kaya baju partai bahan panas jelek bgt bahan panas kaya baju partai tipis bgt,negatif
beli baca testi dlu banyak yg koment bagus barang ya ampun deh spt bahan baju bagi partai ngk sesuai sama gambar testi,negatif
kurir yg ramah barang sangat luar biasa jelek sesuai,negatif
baju tipisssss sekaliiii jual amanah order jumat tanya kirim hari yg sma tidak bilang nyata baru kirim hari senin juga aku cancel dlu baru kirim order baju dr bandung jumat sabtu sampai yang dr jakarta pengirimiannya kaya dr luar negeri,negatif
bukan katun combed tp pe kl jual yg jujur jgn nipu dnk emnk harga sia dgn kualitas tp jgn barang murah jelek bilang bagus dnk di pasar malam aja yg rb lebih bagus ini kaos partai kompanye,negatif
respon jual sangat buruk sekali tdk rekomendasi beli produk sini kualitas barang biasa karena sesuai dg harga pas aja tp yg sayang paling buruk respon dr jual aja,negatif
kecewa banget sen yg dateng cuma udah tanya solusi gimana e malah jawab cuma iya iya doang nggak nyambung banget maaf kak kasih bintang soal layan sangat muas,negatif
ga ganti warna pas kirim suka suka heuwwww kalo warna nya ga ready tuh konfirmasi lah gilir minta ganti warna ga kapok beli pcs,negatif
chat wktu tanya bahan kata coton combed yg dtang pe payah size lebih kecil ukur kbnyakan cocok buat dalem kemeja aja ni,negatif
kualitas produk baik bahan deskripsi sesuai barang datang padahal beli lusin jadi rugi,negatif
maaf kecewa kaos sesuai dgn bahan yg janjikankan harus katun combed s nyata bukan,negatif
salah kirim mo balikin gimana min sayang ongkir mahal ongkir bolak balik kirim harga baju,negatif
sen ukur m warna misty navy kirim ukur xl warna misty putih kecewa bgt si sama toko,negatif
bahan tipis sama pertama kali beli padahal lama uda beda bahan hmm,negatif
kurang puas bahan sesuai deskripsi bukan combed s,negatif
barang sesuai warna kirim enak konfirmasi saya akhrnya sangat kecewa,negatif
warna sesuai yg pes sen warna putih yg dateng abu,negatif
padahal ukur s gede bgt hasil y kecewa,negatif
sy psn singlet kaos oblong yg d krm malah singlet,negatif
menang buuuuuuuuunf wrna apa nama yg dtg beda banget,negatif
mah bukan bahan catton tpi pe kacau gak sesuai kecewa,negatif
bahan lebih tepat pe single bukan cotton s mohon seller baik deskripsi produk,negatif
tulis nya cotton combed dateng nya kain pe kecewa,negatif
parah sih sen nya maroon datang pink kalau gin terus kapan sukses bro saran aja depan jng kek gtu kasihan yang udh harap gua sih gapapa mereka aja buat toko lu tutu bahkan bangkrut poko pesan gua saft shidiq amanah fathonah tabligh insyaallah lu sukses,negatif
ukur thn besar ukur umur thn kemaren pesan kaos tempat ukur th pas kecewa nggk mau pesan toko,negatif
kecewa lah sen nya warna apa kirim warna apa sudah kasih anak tetangga dri pd gk pke,negatif
bahan terang katun dateng malah pe jelas beda dong tadi mau sablon buat jual,negatif
sen singlet kaos oblong yg kirim singlet semua payah,negatif
jadi jual yg lebih bijak dalam tangan customer bukan malah ajak debat,negatif
udd cht mnt wrna rndom eh d kim biru smua pcs kesal,negatif
kak aku sen warna navi kenaapa dong hitam semua kecewa kak,negatif
bahan kaos bukan katun s lebih mirip kain tc tipis,negatif
aya pesan malah kirim ya periksa lg teliti,negatif
gimana sih yg satu sen hitam kasih nevy ga sesuai,negatif
gimana sih yg satu sen hitam kasih nevy ga sesuai,negatif
bahan tipis jahit kurang rapih,negatif
pesan warna putih kirim warna hitam,negatif
tampil lumayan degn harga segitu,negatif
sen maroon yg kirim hitam,negatif
beda warna ubah pink pesan ijo,negatif
bhn tc pak jgn bilang katun panas,negatif
sesuai deskripsi bahan bukan katun s,negatif
beli pcs yg dateng pcs,negatif
pesan warna biru mala datang warna hijau,negatif
ukur s sama xl sama kecewaa badai,negatif
m kurang satu kirim,negatif
beli yg kirim,negatif
sen apa yg kirim apa,negatif
sesuai judul deskripsi,negatif
terawang sangat tipis sesuai descripsi s sangat kecewa gak rekom,negatif
tp knpa ni yg bolong sya kecewa donk cek klo beli jngan asal maaf sya ksih bintang karna brang yg krim jelek yg bolong bgian belakang,negatif
sesuai gambar kalo cari rejeki jujur biar berkah gak pantas moga ada korban lanjut,negatif
kualitas jelek baju buat saring tepung kata s tp nyata tipis banget,negatif
kualitas jelek nyaman kurang minta warna pink kirim putih ampun dah,negatif
beli buah yg satu sesuai ukur yg beda ukur harus cek dulu klo ngirim doank yg pas,negatif
bahan ciut,negatif
kain bukan cotton combed,negatif
tipis bahan panas,negatif
bukan cotton combed,negatif
barang tdk sesuai,negatif
bukan cutton combet,negatif
kirim terlalu lama,negatif
lambat,negatif
tipis banget,negatif
layan buruk dan baju banyak cacat kotor,negatif
pesan pcs yg datang cuma pcs,negatif
bahan tipis bgd,negatif
nyesel beli toko mana ukur xl panjang ga nyampe cm ga size chart asli lupa kalo dulu pernah beli sini sempet kecewa gw tandain jangan sampe ulang lg beli pcs zonk semua huft nasib,negatif
quebeli jenis s dateng satu nya bener yg warna merah yg warna hijau tipis bgt beda bgt nerawang bgt kecewa bgt sii,negatif
jahit baju miring gaes udah mh si tipis bgt kaya s bukan s keset rumah gua aja jahit lurus,negatif
kecewa banget baru pertama order kirim kaos bolong depan liat bangt pas dipake kecewa,negatif
cuman d kasih yg cacat tadi ga videoin soal d buka sama orang tua saya gaada,negatif
bahan tipis s descreption tebal tp pas dateng sama produk saya beli belum toko,negatif
gak paham ini gimana coba tanggung jawab nya,negatif
benar benar kecewa sekarang beda order belum bahan malah tipis yg sekarang bukan kali pertama order sini kali saya kecewa,negatif
warna yg kirim tdk sesuai pesan warna hitam kirim warna abu respon jual kak jelas banget kakak pesan warna abu misty ada bukti kalo kakak pesan abu misty pcs kalo mau saing yg sehat dong jangan kaya gin,negatif
sumpah kapok belanja sini barang salah terus tiba paket lagin sya bayar dobel toko gajelasss,negatif
bagi leher melar baju pas bagi leher gede bangat lengan oke panjang pas cuman ga lucu aja bagi leher doang gede bangat,negatif
judul bahan tebal nyata bahan tipis banget gak puas sekaligus kecewa banget kaos nya sangat mahal harga kaos ribu an,negatif
warna pudarrr tampil bawah standar sesuai ekspetasi dg harga segitu terlalu mahal tipis tidak rapi jahit nya kecewa beli sini,negatif
barang reject kirim jahit gak beres ukur m kok yg besar yang kecil,negatif
bahan s kawe pake panas gatal parah bener ni toko kembali ga,negatif
jahit rapih bolong bagi pundak,negatif
terlalu lama datang barang nya,negatif
jelek jahit melintir rekomended utk beli qualitas jahit engga bagus baru ajar jahit nyesel beli walau uda catat jangan cacat jahit jangan sampe melintir percuma aja engga baca,negatif
jahit kurang rapi sangat sayang bahan tipis bukan s yg harus tebel kecewa nyesel sudh beli pcs,negatif
beda deskripsi bahan s bahanya s di kirim mungkin ken cepet laku zonk ga sesuai,negatif
kaos nya tipis kaya s bahan lembut tp panas dpakai mnyerap keringat,negatif
kirim sesuai apa yg tentu emas sangat lambat,negatif
minta m yg dikirm xl janji nge refund pas naikin lg rating nya eh ngilang yaudah aku iklas,negatif
barang sampai tpi kok gak sama yang foto,negatif
beli super white size m datang abu size l kapok order sini sumpah,negatif
pertama kali pesan sini baju warna navy abu tua pesan hitam jenis sama bahan nya beda jauh lebih bagus pertama kali pesan lebih tebal lembut tidak panas ini pesan risih pakai beda min,negatif
belum uda bbrp kali pesan s sini yg akhir baru sadar kain beda malah kirim yg s,negatif
gak sesuai tipis banget nyesel dah beli sini bilang tebel pas dateng tipis banget,negatif
paket yg cuma padahal sen nyesel belanja sini,negatif
robek bagi belakang mohon perhati lebih teliti,negatif
pesan gk sesuai bahan tipis,negatif
kain bukan s tpi s mana gatel panas,negatif
gak sesuai terang ny kaos nya kecewa deh,negatif
barang yg datang ukur l yg order xl,negatif
beli abu tua sma biru navy datang sesuai,negatif
kirim telat,negatif
wrna tdk sesuai sen hitam d kirim navy,negatif
order dua sy tdk kirim cotton combed s,negatif
sen nya warna apa kirim warna apa,negatif
tdak bagus kecewa kain tipis kaku,negatif
sangat besar ukur l kaya xl,negatif
pesan kirim cuma,negatif
ukur nya gantung kirim lama,negatif
jahit ga rapi warna luntur di cuci biru navy jadi hitam kecewa sih,negatif
bukan cuma sekali belanja sini tapi kali saya kecewa untuk baju warna hitam maroon bahan bagus tebal warna abu muda nya tipis banget dulu pernah beli hitam dongker milo hitam dongker bagus tebal lah milo tipis banget kecewa dah poko,negatif
padan sangat buruk buruk mana cotton combed s harga bawah k nyata kta emng benar ada contoh kaos benar ngibul tai kucing lgi kyaknya barang yng kirim gwe kyaknya brang krna dri ulas yng gwe liat banyak tanda ukur kaos yng sya lingkar merah foto beda yng kirim gwe yng huruf tnda ukur kosnya besar pnya gwe huruf tnda ukur kaos kecil yng sya lingkar merah foto benar sangat kecewa kaos bukan s panas bulu lgi,negatif
buruk bahan s yang datang bukan bahan s ukur juga kecil beli xl pake kaya baju ukur l label kaos jga beda yg kirim,negatif
buruk gak sesuai sesuai baju tipis kotor gak sesuai pesan yg s yg kirim bukan s baju kotor banget yg warna putih nya kotor banget mau return malah uang sesuai sama harga pesan pesan harga k kalau return malah cuma k kembali,negatif
cpesan warna caramel datengnya malah coklat gelap nyambung banget,negatif
antar terlalu lama estimasi tentu,negatif
super super lama,negatif
tipis barang yg kirim sesuai pict,negatif
baju nya robek kecewa,negatif
tipis bos payah,negatif
kecewa toko ini s sini s,negatif
lama cuma yg paling lama,negatif
tipis kek s,negatif
salah kirim warna,negatif
biasa aja,negatif
kirim lamaa,negatif
tipis,negatif
nyesel sangat tipis,negatif
jaitan jelek,negatif
tipis banget jelek,negatif
nyesel belanja sini bahan tipis,negatif
sip lah motif bagus engga pasar moga warna sablon awet untuk size pake ukur lokal,positif
wahhh baju nya pas nyaman pakai stiker lagi keren mahh,positif
tampil bagus bahan lembut adem pakai sablon bagus worth it banget,positif
bahan lembut enak pakai jahit rapi next order,positif
produk sangat sesuai the best lah way apparel bakal jadi langgan gua nii,positif
sesuai pict mantap rekomendasi banget kirim cepat mantap,positif
terima kasih kak atas ulas baik tunggu order lanjut,positif
tampil kece warna hitam rekomed buat kalian cuy yg mau beli kaos way cloth bahan jamin nyaman pakai ga cuma kita kasih bonus stiker tas kaos ny pokok ny kalian beli di way cloth,positif
bagus smoga awet sablon free totebag kecil,positif
oke lah,positif
mantap lah,positif
tampil bagus,positif
worth it banget,positif
sip,positif
mantap barang sesuai pesan,positif
tampil sangat cocok,positif
tampil bagus sesuai gambar,positif
suka banget sama barang adem sejuk pas jga badan lovee u,positif
alhamdulillah paket sampai produk baik sesuai pesan terimakasih kak,positif
ngga ngecewaiin si warna sesuai bahan ngga ngecewiin buat harga segitu mh,positif
kualitas tinggi harga pas adem di pake,positif
kualitas bagus styling bagus tampil bagus,positif
tampil mantap terimah kasih banyak kecewa,positif
warna bagus tampil langanan gk kecewa beli baju nya bagus,positif
tampil keren warna sesuai yang ingin kan,positif
sngat baik,positif
tampil bagus bahan warna pass sesuai pesan,positif
bagus kk bahan adem makasih kk,positif
baju bgs lah buat harga segitu,positif
tampil bagus warna sesuai next order,positif
warna sesuai tampil bagus,positif
sesuai yg pesan bagus bnget tebal,positif
tampil bagus alhamdulillah udah datang selamat no cacat gak kecewa,positif
bahan tipis nyaman pakai thanks semua nya,positif
tampil bagus barang real pict sesuai pesan kirim cepat kirain harga segitu bakal tipis banget nyata gak terlalu tipis juga bagus sablon halus,positif
bahanya bagus kualitas keren bnget puas sama produk nya lembut kulit,positif
tampil tawan pernah beli toko dan selalu puas kelak bakal beli lagi harga murah udah pakek baju baru,positif
udah nyampe barang mntapp,positif
nyaman styling oktampilan bahan bagus sesuai harga,positif
nyaman baik tampil baik padan uang iya bagus,positif
warna tampil bagus sangat muas,positif
warna bagus tampil good mantapzt,positif
tampil warna,positif
warna bagus tampil nyaman,positif
warna baik tampil bagus,positif
kualitas bahan adem bagus,positif
tampil wort it,positif
tampil bagus,positif
tampil baik,positif
oke keren,positif
good,positif
puas,positif
mantap,positif
tampil warna,positif
warna yg bagus,positif
kain enak pakek,positif
tampil bagus,positif
warna bagus,positif
kualitas bagus nyaman nyaman pakai,positif
mantap bahan bagus nyaman d pakai,positif
muantaoooooppppppp kliiiiiii,positif
besar gapapa baguss baju,positif
padan uang padan,positif
kualitas baik,positif
ship pokok e,positif
mantap jasaa,positif
tampil kece warna putih ukur xxl kaos sampai sesuai di harap terima kasih buat toko udah amanah juga buat shopee terima kasih,positif
sablon jamin gak bakal luntur rusak karna nyatu sama baju nyaa gambar nya kerenn kalau gambar gambar ginian bakal checkoutt lagi,positif
tampil elegant nyaman barang datang sesuai pesan barang sangat bagus kain lumayan tebal sablon bagus kain nyaman panas harga murah barang maksih seller,positif
sablon bagus paket terima packing simple rapih mudah di buka moga kualitas awet bahan adem,positif
tampil cantik warna sesuai order bhnya adem lembut lembut hatiqu ken yg polos gk trimakasih akhir ulas jadi masa lalu guru yg buat diri sendiri karna alam lebih mahal pada gaji guru good luck,positif
bagus baju nya harga segitu kirim nya cepat next beli buat baju hari lumayan,positif
kualitas padan harga mantap bgt bahan bgskenyamanan mantapreqomend dh buat yg lg nyari harga murah kualitas bkn kaleng kaleng,positif
tampil sangat bagus mah si ga nyesel kaos bagus pokok ga kata,positif
warna baik tampil sangat baik muas sekali belanja toko ini kali order,positif
sangat sesuai ekspetasi emas benar benar rapi kualitas harga gin tuh udh bgus bgt kain terawang sangat lembut poko e oke bangat,positif
kaos bagus kak pertama kali beli sini ain resfon jual baik harga sahabat kirim lumayan cepat terus tingkat ya kakkk kualitas makasihh,positif
baju udah sampe suka banget sama baju bahan adem harga segitu worth it bnget di milikin kirim cepet banget sen kemaren sore siang udah sampe dong,positif
alhamdulillah darat sesuai pesan proses kirim cepat respon jual baik pokok betah deh belanja sini ayo kawan kawan jangan takut untok belanja sini adminnya ramah kok,positif
pengirimaan cepaattt amann packingnyaa jugaa amaann bangett barang sampee ama bangettt sukaaa bangett sama toko ginii thankk uuuu,positif
bahan bagusss tebel ga tipiss sablon realpict kirim cepatt orang ramah order kali ngga pernah ngecewain,positif
barang sampai bagus bahan adem banget suka deh pokok,positif
ganyangka bagus bgt baju nya harga gin si worth it banget yaaaaa keren pokok cuma jual hrs bsa lebih baik lgi merespon chat langgan hehe tpi overall kewrennnnnnnnnnnnnnn,positif
bagus banget real lict bahan adem bagus sablon gambar cantik ga luntur lembut enak dipake body fit bagus bgt lah harga jangkau mantap banget udah,positif
barang sampai makasih kak udah kali kali belanja sini ngga pernah nyesel bahan baju adem lumayan jual tetap tahan kualitas harga kak,positif
barang dengan aman bahan terlalu tebal halus sablon jahit nya rapi kirim cepat,positif
bagus banget bahan adem respon seller baik ramah barang lengkap gada kurang poko thee bestt banget mantappppppppppppp,positif
alhamdulillah seller amanah pakai banget ga pernah kecewa sih belanja sini terima kasih seller yg baik hati moga makin maju usaha nya amin,positif
kaos tipis halus bangett sukaa dengan harga k udah dapet kaos bagus bener ga expect bakal bagus ini kirim memang lama si gapapa,positif
suka banget cinta banget amanah real pict banget kualitas bagus poll love kebon makasiii,positif
thankyouu kaos sampai sesuai order bagus yaaa,positif
barang cepat nyampe kemas baik bagus rapi moga lebih tingkat terima kasih,positif
barang nyampe dg selamat ga yg cacat sesuai pesan cuman aga lama emas nya kualitas bagus sesuai harga makas seller,positif
terimakasih kak barang udah sampe kemarin kemaren sih baru sekarang ngasih ulas baju baguss bahanya adem pakai lihat kaya panas benar adem sih sablon baguss cocok banget buat jual lagiii,positif
super bagus banget bajunyaaaaa harga kaki lima kualitas distro next time order sini,positif
beli baju sekaligus barang bagus banget sumpah udah kaya kualitas baju harga an ga ragu beli nanti,positif
emas cepet kirim bahan nya adem produk lengkap semua,positif
bagus bgt gila sii mantul bett ini size l gess pas bgt aku perfectt thankk owner,positif
pertama kali sen sini suka banget produk kualitas oke banget harga murah emas cepet juga suka pokok pasti langgan deh,positif
pesan kaos nya sampai bahan kaos nya bagus makasih shopee makasih seller,positif
baguss gambar real pict bahan adem panas tipis nyaman pakai,positif
kualitas bagusss ga tebel ga tipiss harga segitu lumayan lah yaa sablon baguss udah beli kali ngecewain barang cepat datange sukak deh,positif
alhamdullilah paket cpt datang barang sesuai pesan customer selalu suka slalu amanah trs say packingnya jg slalu cepat pokok neng bnget kak harga jga murah tp tdk murah,positif
tampil baik bahan sesuai harga sellernya ramah utk hrga gin bilang bagus rekomen sih gmbarx jg bagus bru pertama beli langsung borong krna mw d jual lgi,positif
baguss sablon bagus kaos harga segitu oke lah gakk tipis banget,positif
bagus realpict sesuai pesan bahan nya adem jaitan rapih sablon nya jelas bagus adem bgt dipakenya nyaman,positif
sangat bagus sama baju bakal jadi langgan sini sangat bagus sama baju bakal jadi langgan disinisangat bagus sama baju bakal jadi langgan disinisangat bagus sama baju bakal jadi langgan disinisangat bagus sama baju bakal jadi langgan sini,positif
udah sampe semua sesuai sen ga yang kurang moga depan langanan,positif
barang sampai selamat kualitas sangat bagus terimakasihhhh,positif
suka banget sama warna putih bagus banget bahan adem harga segitu kirim cepat terimakasih,positif
baguss bgtt beli sini gapernah myesell sumpahh udh murah baguss lagi kirim cepet baru kemaren maren ku beli,positif
sablon baguss sesuai harga cepat kirim,positif
bagusss bahan kaos ademmmm ga kecewaa sukaaaa kaliiiii,positif
tampil bagus warna top pokok nya dehharga jangkau bahan nya adem nyerep keringat top poko nya deh,positif
alhamdulillah paket udh puas bngt barang semangat terus pokok bantu lapor penyalahgunaan,positif
produk oke bahan bagus halus cocok jual lagi,positif
baguss bgttt barangnyaaa real pict sukaaaa banget pokonyaa sesuai pesanannnn huhuhu next order sini lagiiii dehhhhhhhhhhhhhhhhhh arghhhhhh luvvvvvvvvvv,positif
tampil keren bahan tebel lah pokok,positif
tampil keren warna tarik realpict banget toko amanah makasih seller nggak nyesel beli sini,positif
suka bangetttt baju bagus bahan ga tebel ga tipis yg dipakenya nyaman kecehhhh bakal repeat order sih,positif
kak makasih barang darat selamat bahan nya bgus harga segitu kak mantap,positif
alhamdulillah gk pernah gagal barang selalu sesuai mantappp tahan seller buah percaya puas langgan terimakasih,positif
produk baik langgan sini moga amanah teruss yaaa,positif
mantap barang sesuai deskripsi bahan lumayan terlalu tipis sablon bagus pokok rekomended kirim sedikit hambat tx min,positif
emas rapi kirim cepat kualitas gk kalah tentu suka banget belanja sini thank you min,positif
gak ragu sih karna udah tiga kali beli sini kirim cepat pokok makasih,positif
tampil cakep banget asli cakep cakep banget bahan sablon nya asa beli baju distro,positif
paket nya dah datang bagus baju nya anak suka sekali,positif
kirim cepat bahan adem sesuai pesan ga nyesel deh,positif
produk bagus jangan ragu beli toko,positif
baju bagus bagus semuaa udah kali bli sini jadi langgan deh,positif
bagus nyaman dipake buat baju santai pas cuaca panasss tipis adem,positif
bagusss bgtttt bahannyaa bagusss bgtttt bahannyaa bagusss bgtttt bahannyaa,positif
overall lumayan oke recommended,positif
pokok amanah bgt deh aku bisa lihat kok harga barang harga segitu udah dapet kaos sih aku worth it bgt,positif
barang bagus kualitas baik kirim lengkap sablon bagus selalu langgan toko recommended banget buat jual ulang,positif
baju bagus lembut barang cepat ke tuju gak nunggu lama barang harga jangkau,positif
sukaa bngtt sama kaosnyaa teballl woyyy harga murah kualitas g murah,positif
tampil bagus bagus baham adem ga gerah,positif
harga murah kualitas gak murah recomemded deh tqu min,positif
tampil kirim cepet barang sesuai,positif
pengirman cepat brang darat dngan aman oke maksih kak lumayan bhan adem sesuai pesan smoga makin maju,positif
paket udh dateng trs barang bagus adem,positif
tampil baju nya bagus banget gk nyesel beli toko terima kasih sangat bagus,positif
bahan bagus adem dipakenya selebiihnya lahhh,positif
tampil bagus lumayan wort it dgn hrga segitu,positif
barang bagus pernah kecewa selalu jadi pilih good tetap jaga kualitas rekomended toko,positif
kaos bagus banget suka deh kain halus jadi ga bikin gerah panas gitu,positif
alhamdulillah paket udh sampe dtgnya jg cpt bgt cuma hari bajunyaa bagusss,positif
udah langgan jadi gk takut kecewa alhamdulillah tahan kualitas kakak,positif
bagus lengkapp makasihhh byk,positif
tampil bagus warna bagus bagus dgn harga segitu dpt kaos bahan bagus,positif
mantap bangett bahan muluss real pick sesuai pesan rekomend banget buat kalian cari baju murah bahan elegant mantap lah joss gandos,positif
tipis bahan adem enak dipakenya rekomen mau order ka moga beli lanjut sama ini,positif
ukur pas produk oke overall jos gandos kotos kotos,positif
barang bahan sangat enak badan gak nyesel order sini,positif
mantap deh gak kecewa sama barang nya kurir nya mantap buru order gaes bantu,positif
baru dateng langsung jatuh cinta sama bahan sablon bagus next bakal order warna putih,positif
tapi baju bagusss bangettt sejukkkk mantepppp pokoknyaaaa,positif
kirim cepat sesuai pesan packing super aman gk nyesel beli sini,positif
